Judul,Kategori
"RetailMeNot - Coupons, Deals & Discount Shopping",shopping
retteMi.ch,communication
ricardo.ch,shopping
Ring,communication
Robin - AI Voice Assistant,maps_and_navigation
RocketDial Dialer & Contacts,communication
ROMWE - Women's Fashion,shopping
Rosetta Stone: Learn to Speak & Read New Languages,education
Rosetta Stone: Learn to Speak & Read New Languages,education
Rosetta Stone: Learn to Speak & Read New Languages,education
Rosetta Stone: Learn to Speak & Read New Languages,education
Rossmann PL,shopping
Safest Call Blocker,communication
Sago Mini Hat Maker,education
Sam's Club: Wholesale Shopping & Instant Savings,shopping
SAT Flashcards: Prep & Vocabulary,education
SAT Test,education
SAT Vocabulary,education
Sat-Fi,communication
Sat-Fi Voice,communication
Save.ca,shopping
SavingStar - Grocery Coupons,shopping
"Savory - Deals,Freebies,Sales",shopping
SBB Mobile,maps_and_navigation
Schulman B.V.,shopping
Sentin Information Map,maps_and_navigation
SeriesGuide – Show & Movie Manager,entertainment
Seznam.cz,communication
Sharaf DG,shopping
Shop 'n Save,shopping
Shopee - No. 1 Online Shopping,shopping
Shopee: No.1 Belanja Online,shopping
Shopee: No.1 Online Shopping,shopping
Shopfully - Weekly Ads & Deals,shopping
"Shopkick: Free Gift Cards, Shop Rewards & Deals",shopping
"Shopkick: Free Gift Cards, Shop Rewards & Deals",shopping
Shopping List S PRO,shopping
ShopSavvy Barcode & QR Scanner,shopping
"Shopular: Coupons, Weekly Ads & Shopping Deals",shopping
"Shopular: Coupons, Weekly Ads & Shopping Deals",shopping
Should I Answer?,communication
SHOWTIME,entertainment
SHOWTIME,entertainment
Showtime Anytime,entertainment
"Shrimp skin shopping: spend less, buy better",shopping
SketchBook - draw and paint,entertainment
Skype - free IM & video calls,communication
Skype - free IM & video calls,communication
Skype - free IM & video calls,communication
Skype Lite - Free Video Call & Chat,communication
Slice: Package Tracker,shopping
Slickdeals: Coupons & Shopping,shopping
Slickdeals: Coupons & Shopping,shopping
Slickdeals: Coupons & Shopping,shopping
Smart Wi-Fi Hotspot PRO,communication
Šmelina .cz inzeráty inzerce,shopping
SMS Sender - sluzba.cz,communication
Snapp,maps_and_navigation
SnipSnap Coupon App,shopping
SnipSnap Coupon App,shopping
Socratic - Math Answers & Homework Help,education
Socratic - Math Answers & Homework Help,education
Socrative Teacher,education
SolMail - All-in-One email app,communication
SoloLearn: Learn to Code for Free,education
Soviet Military Maps Free,maps_and_navigation
Spectrum TV,entertainment
Speed Camera Radar,maps_and_navigation
Speed Cameras Radar,maps_and_navigation
SPEED L,shopping
Speed Reading,education
StarTimes - Live International Champions Cup,entertainment
STARZ,entertainment
STARZ,entertainment
STARZ,entertainment
Sticker Market: Emoji keyboard,entertainment
Stocard - Rewards Cards Wallet,shopping
Stocard - Rewards Cards Wallet,shopping
Strætó.is,maps_and_navigation
Strava.cz,shopping
Study Checker,education
Subway Terminator: Smarter Subway,maps_and_navigation
Südtirol2Go,maps_and_navigation
SW-100.tch by Callstel,communication
Sygic Car Navigation,maps_and_navigation
Sync.ME – Caller ID & Block,communication
"T map (te map, T map, navigation)",maps_and_navigation
"Talkatone: Free Texts, Calls & Phone Number",communication
"Talkatone: Free Texts, Calls & Phone Number",communication
"Talkie - Wi-Fi Calling, Chats, File Sharing",communication
"Talkie Pro - Wi-Fi Calling, Chats, File Sharing",communication
Talking Angela,entertainment
Talking Ben the Dog,entertainment
Talking Ginger 2,entertainment
Talkray - Free Calls & Texts,communication
Talkray - Free Calls & Texts,communication
Target - now with Cartwheel,shopping
Target - now with Cartwheel,shopping
Target - now with Cartwheel,shopping
TattooSupplies.eu,shopping
Táxi Nacional BR,maps_and_navigation
Teacher's Gradebook - Additio,education
TeachersPayTeachers,education
TED,education
TED,education
TED,education
Telegram,communication
Telegram,communication
Telegram,communication
Telemundo Now,entertainment
Telemundo Now,entertainment
Tenh Ey,shopping
Test Server SMS FA,communication
Text SMS,communication
THAI DICT 2018,education
Thai Handwriting,education
The birth,shopping
The Coupons App,shopping
The Coupons App,shopping
The Coupons App,shopping
The Coupons App,shopping
The CW,entertainment
The CW,entertainment
The CW,entertainment
The green alien dance,entertainment
The Home Depot,shopping
The NBC App - Watch Live TV and Full Episodes,entertainment
The wall,shopping
Threema,communication
Timetable,education
Tiny Call Confirm,communication
T-Mobile DIGITS,communication
Toca Life: City,education
Toca Life: Hospital,education
TOEFL Prep & Practice from Magoosh,education
TomTom GPS Navigation Traffic,maps_and_navigation
Tophatter - 90 Second Auctions,shopping
TouchPal Keyboard - Fun Emoji & Android Keyboard,communication
Tour BD (Bahir Dar Map),maps_and_navigation
tournaments and more.aj.2,communication
TownWiFi | Wi-Fi Everywhere,communication
TracFone My Account,communication
Traffic Info and Traffic Alert,maps_and_navigation
Traffic signs BD,communication
Trailer Addict Movie Trailers,entertainment
Training schedule - AllUniver,education
TrainPal EU- Book German Train Tickets,maps_and_navigation
Transit: Real-Time Transit App,maps_and_navigation
Transit: Real-Time Transit App,maps_and_navigation
Transport DK,maps_and_navigation
Tribeca Shortlist - Handpicked Movies,entertainment
"Truck Car Navi by Navitime Large size car, traffic jam, traffic closure, live camera, typhoon / precipitation map",maps_and_navigation
Truck Chat & CB for Truckers,maps_and_navigation
Trucker Path – Truck Stops & Weigh Stations,maps_and_navigation
True Contact - Real Caller ID,communication
"Truecaller: Caller ID, SMS spam blocking & Dialer",communication
"Truecaller: Caller ID, SMS spam blocking & Dialer",communication
Tubi TV - Free Movies & TV,entertainment
Tubi TV - Free Movies & TV,entertainment
Tubi TV - Free Movies & TV,entertainment
tutti.ch - Free Classifieds,shopping
TV+,entertainment
"Twice: Buy, Sell Clothing",shopping
Twitch: Livestream Multiplayer Games & Esports,entertainment
"U - Webinars, Meetings & Messenger",communication
Uber,maps_and_navigation
Uber,maps_and_navigation
UC Browser - Fast Download Private & Secure,communication
UC Browser - Fast Download Private & Secure,communication
UC Browser - Fast Download Private & Secure,communication
UC Browser Mini -Tiny Fast Private & Secure,communication
UC Browser Mini -Tiny Fast Private & Secure,communication
UC Browser Mini -Tiny Fast Private & Secure,communication
Udacity - Lifelong Learning,education
Udacity - Lifelong Learning,education
Udemy - Online Courses,education
Udemy - Online Courses,education
Udemy - Online Courses,education
Universal Kids,entertainment
Univision NOW - Live TV and On Demand,entertainment
Univision NOW - Live TV and On Demand,entertainment
Urban Outfitters,shopping
VH1,entertainment
VH1,entertainment
VH1,entertainment
Viber Messenger,communication
Viber Messenger,communication
Viber Messenger,communication
Viber Messenger,communication
Viber Messenger,communication
Video Caller Id,communication
Vienna U-Bahn,maps_and_navigation
Vigo Lite,entertainment
Viki: Asian TV Dramas & Movies,entertainment
Viki: Asian TV Dramas & Movies,entertainment
Viki: Asian TV Dramas & Movies,entertainment
Virtual Walkie Talkie,communication
Vonage Mobile® Call Video Text,communication
Voxer Walkie Talkie Messenger,communication
"VRV: Anime, game videos & more",entertainment
Vudu Movies & TV,entertainment
Walmart,shopping
Walmart,shopping
Wanelo Shopping,shopping
Wanelo Shopping,shopping
Wayfair - Shop All Things Home,shopping
"Waze - GPS, Maps, Traffic Alerts & Live Navigation",maps_and_navigation
"Waze - GPS, Maps, Traffic Alerts & Live Navigation",maps_and_navigation
Web Browser,communication
Web Browser & Explorer,communication
Web Browser for Android,communication
Web Browser for Android,communication
WEB.DE Mail,communication
WeChat,communication
WeChat,communication
WeChat,communication
WeChat,communication
WeFi - Free Fast WiFi Connect & Find Wi-Fi Map,communication
Wemep - Special price representative (special / shopping / shopping app / coupon / shipping),shopping
WhatsApp Business,communication
WhatsApp Business,communication
WhatsApp Messenger,communication
WhatsApp Messenger,communication
WhatsApp Messenger,communication
WhatsCall Free Global Phone Call App & Cheap Calls,communication
Who,communication
Who,communication
Whoscall - Caller ID & Block,communication
Whoscall - Caller ID & Block,communication
WICShopper,shopping
WiFi Access Point (hotspot),communication
Wi-Fi Auto-connect,communication
WiFi Tether Router,communication
Wish - Shopping Made Fun,shopping
Wish - Shopping Made Fun,shopping
Wish - Shopping Made Fun,shopping
Wish - Shopping Made Fun,shopping
Wish - Shopping Made Fun,shopping
WWE,entertainment
X Browser,communication
Xperia Link™,communication
Yahoo Mail – Stay Organized,communication
Yahoo Mail – Stay Organized,communication
Yahoo Mail – Stay Organized,communication
"Yahoo! transit guide free timetable, operation information, transfer search",maps_and_navigation
Yandex.Trains,maps_and_navigation
Yandex.Transport,maps_and_navigation
"Yanosik: ""antyradar"", traffic jams, navigation, camera",maps_and_navigation
Yidio: TV Show & Movie Guide,entertainment
Your Freedom VPN Client,communication
YouTube Gaming,entertainment
YouTube Kids,entertainment
Z PIVOT,communication
Zalo – Video Call,communication
ZALORA Fashion Shopping,shopping
ZALORA Fashion Shopping,shopping
Zap-Map: EV charging points UK,maps_and_navigation
Zappos – Shoe shopping made simple,shopping
Zappos – Shoe shopping made simple,shopping
ZenUI Dialer & Contacts,communication
Ziggo GO,entertainment
zulily - Shop Daily Deals in Fashion and Home,shopping
